problem,sentence,solutions,fullname,pred,certainty
13,The _ is at the end of the hall.,bathroom,dum-casti-domu-2-uroven,bathroom,3.5237256288528442
13,"Tom is in the _ , cutting up some vegetables.",kitchen,dum-casti-domu-2-uroven,kitchen,3.5237256288528442
13,He grows tomatoes in the _ .,garden,dum-casti-domu-2-uroven,garden,3.5237256288528442
13,The dog is sitting on the _ .,carpet,dum-casti-domu-2-uroven,carpet,3.5237256288528442
14,Look at yourself in the _ .,mirror,dum-casti-domu-2-uroven,mirror,5.6252665519714355
14,I live on the first _ .,floor,dum-casti-domu-2-uroven,floor,5.6252665519714355
14,The teacher sat on the _ .,chair,dum-casti-domu-2-uroven,chair,5.6252665519714355
14,He always sings in the _ .,shower,dum-casti-domu-2-uroven,shower,5.6252665519714355
15,Mary jumped into the _ .,pool,dum-casti-domu-2-uroven,pool,4.2530617117881775
15,Jane sleeps in the _ .,bedroom,dum-casti-domu-2-uroven,bedroom,4.2530617117881775
15,The _ is too hard for sleeping.,pillow,dum-casti-domu-2-uroven,pillow,4.2530617117881775
15,The _ is hanging from the ceiling.,lamp,dum-casti-domu-2-uroven,lamp,4.2530617117881775
16,He was so tired that he fell asleep in the _ .,armchair,dum-casti-domu-2-uroven,armchair,7.994186341762543
16,"Close the _ , please.",door,dum-casti-domu-2-uroven,door,7.994186341762543
16,I lost my _ .,key,dum-casti-domu-2-uroven,key,7.994186341762543
16,He changed his _ .,address,dum-casti-domu-2-uroven,address,7.994186341762543
16,Tom is building a _ .,wall,dum-casti-domu-2-uroven,wall,7.994186341762543
17,The _ wakes up his wife.,husband,rodina-lide-2-uroven,husband,3.3152987360954285
17,My _ has three children.,aunt,rodina-lide-2-uroven,aunt,3.3152987360954285
17,The _ is learning quickly.,child,rodina-lide-2-uroven,child,3.3152987360954285
18,My younger _ watches TV.,brother,rodina-lide-2-uroven,brother,5.253780722618103
18,What is your _ ?,age,rodina-lide-2-uroven,age,5.253780722618103
18,Our _ cannot talk yet.,baby,rodina-lide-2-uroven,baby,5.253780722618103
18,She visited her aunt and _ .,uncle,rodina-lide-2-uroven,uncle,5.253780722618103
19,My _ will prepare breakfast.,sister,rodina-lide-3-uroven,sister,6.022352516651154
19,I have a large _ .,family,rodina-lide-3-uroven,family,6.022352516651154
19,Tom is our _ .,guest,rodina-lide-3-uroven,guest,6.022352516651154
19,You're a kind _ .,person,rodina-lide-3-uroven,person,6.022352516651154
19,Mary is a very busy _ .,woman,rodina-lide-3-uroven,woman,6.022352516651154
20,Are you _ ?,married,rodina-lide-3-uroven,married,6.355319976806641
20,Mary comes from a good _ .,family,rodina-lide-3-uroven,family,6.355319976806641
20,Do you remember your _ ?,grandfather,rodina-lide-3-uroven,grandfather,6.355319976806641
20,How is your _ pronounced?,surname,rodina-lide-3-uroven,surname,6.355319976806641
21,My older _ is a teacher.,brother,rodina-lide-2-uroven,brother,6.992219924926758
21,Many _ were there.,people,rodina-lide-2-uroven,people,6.992219924926758
21,Write your _ .,name,rodina-lide-2-uroven,name,6.992219924926758
21,He is a childhood _ .,friend,rodina-lide-2-uroven,friend,6.992219924926758
22,What does your _ do?,father,rodina-lide-2-uroven,father,4.323713779449463
22,He married a rich _ .,girl,rodina-lide-2-uroven,girl,4.323713779449463
22,Tom was my first _ .,boyfriend,rodina-lide-2-uroven,boyfriend,4.323713779449463
22,"Yes, I have a _ .",daughter,rodina-lide-2-uroven,daughter,4.323713779449463
23,Can I _ in this bed? ,sleep,slovesa-zaklad-1-uroven,sleep,4.905517339706421
23,I would like to _ mineral water.,drink,slovesa-zaklad-1-uroven,drink,4.905517339706421
23,I like to _ fantasy books.,read,slovesa-zaklad-1-uroven,read,4.905517339706421
23,"Please, can you _ the window?",close,slovesa-zaklad-1-uroven,close,4.905517339706421
24,We are going to _ a wall.,build,slovesa-zaklad-2-uroven,build,8.646893978118896
24,I _ a letter.,write,slovesa-zaklad-2-uroven,write,8.646893978118896
24,Do you _ us?,remember,slovesa-zaklad-2-uroven,remember,8.646893978118896
24,The bells started to _ .,ring,slovesa-zaklad-2-uroven,ring,8.646893978118896
24,He made her _ .,cry,slovesa-zaklad-2-uroven,cry,8.646893978118896
25,I want to _ a song.,sing,slovesa-zaklad-3-uroven,sing,5.002162337303162
25,You should _ him.,thank,slovesa-zaklad-3-uroven,thank,5.002162337303162
25,My son still cannot _ .,count,slovesa-zaklad-3-uroven,count,5.002162337303162
25,I'll never _ you.,forget,slovesa-zaklad-3-uroven,forget,5.002162337303162
26,Do you _ alcohol?,drink,slovesa-zaklad-2-uroven,drink,5.869483113288879
26,Cows _ grass.,eat,slovesa-zaklad-2-uroven,eat,5.869483113288879
26,I _ my hands.,wash,slovesa-zaklad-2-uroven,wash,5.869483113288879
26,Do you _ ?,smoke,slovesa-zaklad-2-uroven,smoke,5.869483113288879
27,I _ Tom's company.,enjoy,slovesa-zaklad-2-uroven,enjoy,5.129418134689331
27,I used to _ of him.,dream,slovesa-zaklad-2-uroven,dream,5.129418134689331
27,I _ up early.,wake,slovesa-zaklad-2-uroven,wake,5.129418134689331
28,"Will you _ the door, please?",open,slovesa-zaklad-1-uroven,open,7.284184515476227
28,Can I _ you a question?,ask,slovesa-zaklad-1-uroven,ask,7.284184515476227
28,She will _ the pizza.,eat,slovesa-zaklad-1-uroven,eat,7.284184515476227
28,Do you want to _  a picture for me?,paint,slovesa-zaklad-1-uroven,paint,7.284184515476227
28,We will _ to Africa.,travel,slovesa-zaklad-1-uroven,travel,7.284184515476227
29,I am tired. I should go to _ .,sleep,slovesa-zaklad-2-uroven,sleep,7.159062743186951
29,What can you _ on the picture?,see,slovesa-zaklad-2-uroven,see,7.159062743186951
29,They _ a new car.,want,slovesa-zaklad-2-uroven,want,7.159062743186951
29,She will _ me a letter.,send,slovesa-zaklad-2-uroven,send,7.159062743186951
29,"Please, _ for five minutes.",wait,slovesa-zaklad-2-uroven,wait,7.159062743186951
30,Do you _ any help?,need,slovesa-zaklad-2-uroven,need,9.656723141670227
30,We _ together.,work,slovesa-zaklad-2-uroven,work,9.656723141670227
30,I can _ the bag.,take,slovesa-zaklad-2-uroven,take,9.656723141670227
30,You _ help me.,must,slovesa-zaklad-2-uroven,must,9.656723141670227
